Site,Name,Latitude,Longitude,Altitude (m),Transmitter,Height (m),Azimuth (°),Priority,
CE001,ESB Ennis North,52.862819,-8.983717,5,CE001 ESB Ennis North_5  ,23.1,30,#N/A,
CE001,ESB Ennis North,52.862819,-8.983717,5,CE001 ESB Ennis North_6  ,23.1,206,#N/A,
CE003,RTE Woodcock Hill,52.71987,-8.692214,258,CE003 RTE Woodcock Hill 1 ,28,120,Priority,
CE003,RTE Woodcock Hill,52.71987,-8.692214,258,CE003 RTE Woodcock Hill 2 ,29,175,Priority,
CE003,RTE Woodcock Hill,52.71987,-8.692214,258,CE003 RTE Woodcock Hill 3 ,27,230,Priority,
CE006,ESB Drumline,52.723675,-8.862105,13,CE006 ESB Drumline_1   ,17,60,Priority,
CE006,ESB Drumline,52.723675,-8.862105,13,CE006 ESB Drumline_2   ,17,220,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_1   ,23.1,70,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_2   ,23.1,70,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_3   ,23.1,185,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_4   ,23.1,185,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_5   ,27,315,Priority,
CE009,RTE Lahinch,52.99346,-9.372596,192,CE009 RTE Lahinch_6   ,27,315,Priority,
CE010,Towercom Ben Dash,52.78724877,-9.165839568,250,CE010 Towercom Ben Dash 1 ,39,0,Priority,
CE010,Towercom Ben Dash,52.78724877,-9.165839568,250,CE010 Towercom Ben Dash 2 ,39,100,Priority,
CE010,Towercom Ben Dash,52.78724877,-9.165839568,250,CE010 Towercom Ben Dash 3 ,39,190,Priority,
CE012,ESB Ennis 110kV,52.85972,-8.936389,14,CE012 ESB Ennis 110kV_1  ,26,80,Priority,
CE012,ESB Ennis 110kV,52.85972,-8.936389,14,CE012 ESB Ennis 110kV_2  ,26,240,Priority,
CE013,RTE Maghera,52.96827,-8.71861,393,CE013 RTE Maghera_1   ,50.4,40,Priority,
CE013,RTE Maghera,52.96827,-8.71861,393,CE013 RTE Maghera_2   ,52,170,Priority,
CE013,RTE Maghera,52.96827,-8.71861,393,CE013 RTE Maghera_3   ,51.4,270,Priority,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_1  ,26,0,Priority,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_1   ,32,0,#N/A,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_2   ,32,0,#N/A,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_2  ,26,0,Priority,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_3  ,26,120,Priority,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_4  ,26,120,Priority,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_5  ,26,240,Priority,
CE022,Vodafone Cloghaun Beg,52.755945,-9.421334,46,CE022 Vodafone Cloghaun Beg_6  ,26,240,Priority,
CE023,Vodafone Lackamore Hill,52.8847,-9.33881,189,CE023 Vodafone Lackamore Hill_1  ,23,40,Priority,
CE023,Vodafone Lackamore Hill,52.8847,-9.33881,189,CE023 Vodafone Lackamore Hill_2  ,23,40,Priority,
CE023,Vodafone Lackamore Hill,52.8847,-9.33881,189,CE023 Vodafone Lackamore Hill_3  ,23,224,Priority,
CE023,Vodafone Lackamore Hill,52.8847,-9.33881,189,CE023 Vodafone Lackamore Hill_4  ,23,224,Priority,
CE028,Towercom Moveen,52.656831,-9.682957,98,CE028 Towercom Moveen_1   ,19,60,Priority,
CE028,Towercom Moveen,52.656831,-9.682957,98,CE028 Towercom Moveen_2   ,19,225,Priority,
CK023,ESB Macroom,51.89791,-8.960884,162,CK023 ESB Macroom_1   ,24.1,355,Priority,
CK023,ESB Macroom,51.89791,-8.960884,162,CK023 ESB Macroom_2   ,24.1,355,Priority,
CK023,ESB Macroom,51.89791,-8.960884,162,CK023 ESB Macroom_3   ,24.1,175,Priority,
CK023,ESB Macroom,51.89791,-8.960884,162,CK023 ESB Macroom_4   ,24.1,175,Priority,
CK024,ESB Carrigaline MW,51.79121,-8.39674,147,CK024 ESB Carrigaline MW_1  ,34.25,0,Priority,
CK024,ESB Carrigaline MW,51.79121,-8.39674,147,CK024 ESB Carrigaline MW_2  ,34.25,110,Priority,
CK024,ESB Carrigaline MW,51.79121,-8.39674,147,CK024 ESB Carrigaline MW_3  ,34.25,240,Priority,
CK025,ESB Mylane,51.847624,-8.645447,203,CK025 ESB Mylane_1   ,30,60,Priority,
CK025,ESB Mylane,51.847624,-8.645447,203,CK025 ESB Mylane_2   ,30,180,Priority,
CK025,ESB Mylane,51.847624,-8.645447,203,CK025 ESB Mylane_3   ,30,300,Priority,
CK042,Towercom Bweeng,52.063129,-8.775733,416,CK042 Towercom Bweeng_1   ,34,30,Priority,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_3   ,21,120,#N/A,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_4   ,21,120,#N/A,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_5   ,21,240,#N/A,
CE011,Vodafone Kilnamona,52.89139,-9.082786,177,CE011 Vodafone Kilnamona_6   ,21,240,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_1   ,25.5,90,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_2   ,25.5,90,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_3   ,25.5,210,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_4   ,25.5,210,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_5   ,25.5,330,#N/A,
CE027,Vodafone Kilmihill,52.708831,-9.315748,66,CE027 Vodafone Kilmihill_6   ,25.5,330,#N/A,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_1   ,16.5,350,#N/A,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_2   ,16.5,350,#N/A,
CK042,Towercom Bweeng,52.063129,-8.775733,416,CK042 Towercom Bweeng_2   ,29,120,Priority,
CK042,Towercom Bweeng,52.063129,-8.775733,416,CK042 Towercom Bweeng_3   ,29,290,Priority,
CK043,Towercom Ballyhoura,52.30607532,-8.563475323,438,CK043 Towercom Ballyhoura_1   ,29,5,Priority,
CK043,Towercom Ballyhoura,52.30607532,-8.563475323,438,CK043 Towercom Ballyhoura_2   ,26,140,Priority,
CK043,Towercom Ballyhoura,52.30607532,-8.563475323,438,CK043 Towercom Ballyhoura_3   ,29,220,Priority,
CK044,ESB Kilva,51.873074,-8.139059,104,CK044 ESB Kilva_1   ,30,10,Priority,
CK044,ESB Kilva,51.873074,-8.139059,104,CK044 ESB Kilva_2   ,30,120,Priority,
CK044,ESB Kilva,51.873074,-8.139059,104,CK044 ESB Kilva_3   ,30,240,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_1   ,23.7,35,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_2   ,23.7,35,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_3   ,23.7,135,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_4   ,23.7,135,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_5   ,23.7,280,Priority,
CK046,3IRL Skibbereen,51.56181,-9.32602,149,CK046 3IRL Skibbereen_6   ,23.7,280,Priority,
CK048,ESB Knockraha 220kV,51.95525918,-8.320372392,153,CK048 ESB Knockraha 220kV_1  ,36,100,Priority,
CK048,ESB Knockraha 220kV,51.95525918,-8.320372392,153,CK048 ESB Knockraha 220kV_2  ,36,210,Priority,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_3   ,16.5,110,#N/A,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_4   ,16.5,110,#N/A,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_5   ,16.5,220,#N/A,
CE031,3IRL Knockeera,52.655537,-9.391221,84,CE031 3IRL Knockeera_6   ,16.5,220,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_1   ,20.1,22,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_2   ,20.1,22,#N/A,
CK048,ESB Knockraha 220kV,51.95525918,-8.320372392,153,CK048 ESB Knockraha 220kV_3  ,36,340,Priority,
CK049,Towercom Whitechurch,51.985,-8.516,188,CK049 Towercom Whitechurch_1   ,30,20,Priority,
CK049,Towercom Whitechurch,51.985,-8.516,188,CK049 Towercom Whitechurch_2   ,30,120,Priority,
CK049,Towercom Whitechurch,51.985,-8.516,188,CK049 Towercom Whitechurch_3   ,30,240,Priority,
CK050,Cignal Castlemartyr,51.914464,-8.07055,18,CK050 Cignal Castlemartyr_1   ,22,107,Priority,
CK050,Cignal Castlemartyr,51.914464,-8.07055,18,CK050 Cignal Castlemartyr_2   ,22,240,Priority,
CK058,ESB Youghal,51.94933744,-7.851544007,64,CK058 ESB Youghal_1   ,18.5,205,Priority,
CK058,ESB Youghal,51.94933744,-7.851544007,64,CK058 ESB Youghal_2   ,18.5,345,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_1   ,25,0,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_2   ,25,0,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_3   ,25,120,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_4   ,25,120,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_5   ,25,240,Priority,
CK062,ESB Charleville,52.352778,-8.678734,99,CK062 ESB Charleville_6   ,25,240,Priority,
CK073,Skylinks Nowen Hill,51.722492,-9.244395,520,CK073 Skylinks Nowen Hill_1  ,25,255,Priority,
CK073,Skylinks Nowen Hill,51.722492,-9.244395,520,CK073 Skylinks Nowen Hill_2  ,25,100,Priority,
CK080,Vodafone Currane Hill,51.70093,-8.957173,224,CK080 Vodafone Currane Hill_1  ,24,35,Priority,
CK080,Vodafone Currane Hill,51.70093,-8.957173,224,CK080 Vodafone Currane Hill_2  ,24,235,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_1 ,23,25,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_2 ,23,25,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_3 ,23,180,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_4 ,23,180,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_5 ,23,285,Priority,
CK085,Vodafone Kinsale Fort Arthur,51.67381,-8.569858,127,CK085 Vodafone Kinsale Fort Arthur_6 ,23,285,Priority,
CK087,Vodafone Bandon Cashlemore,51.707628,-8.813131,200,CK087 Vodafone Bandon Cashlemore_1  ,31,35,Priority,
CK087,Vodafone Bandon Cashlemore,51.707628,-8.813131,200,CK087 Vodafone Bandon Cashlemore_2  ,31,235,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_1   ,12,60,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_2   ,12,60,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_3   ,12,180,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_4   ,12,180,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_5   ,12,270,Priority,
CK089,3IRL Knockroe,51.573414,-9.726347,68,CK089 3IRL Knockroe_6   ,12,270,Priority,
CK093,3IRL Ballydaniel,51.892863,-7.95035,48,CK093 3IRL Ballydaniel_1   ,15,350,Priority,
CK093,3IRL Ballydaniel,51.892863,-7.95035,48,CK093 3IRL Ballydaniel_2   ,15,200,Priority,
CK094,RTE Knockgour,51.64119,-9.999876,467,CK094 RTE Knockgour_1   ,32,85,Priority,
CK094,RTE Knockgour,51.64119,-9.999876,467,CK094 RTE Knockgour_2   ,32,240,Priority,
CK097,Cignal Cronohill,52.180955,-8.139921,309,CK097 Cignal Cronohill_1   ,27,10,Priority,
CK097,Cignal Cronohill,52.180955,-8.139921,309,CK097 Cignal Cronohill_2   ,27,190,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_1   ,20.4,30,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_2   ,20.4,30,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_3   ,20.4,150,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_4   ,20.4,150,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_5   ,20.4,260,Priority,
CK098,3IRL Sandyhill,52.008918,-8.009576,216,CK098 3IRL Sandyhill_6   ,20.4,260,Priority,
CK103,Cignal Ballyhooly,52.13085,-8.38285,136,CK103 Cignal Ballyhooly_1   ,21,108,Priority,
CK103,Cignal Ballyhooly,52.13085,-8.38285,136,CK103 Cignal Ballyhooly_2   ,21,335,Priority,
CK107,Hibernian Mount Gabriel,51.558642,-9.540708,380,CK107 Hibernian Mount Gabriel_1  ,10,320,Priority,
CK120,PVT Bantry Hill,51.6660023,-9.442570582,191,CK120 PVT Bantry Hill_1  ,48,155,Priority,
CK120,PVT Bantry Hill,51.6660023,-9.442570582,191,CK120 PVT Bantry Hill_2  ,48,311,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_1   ,27,0,Priority,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_3   ,20.1,200,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_4   ,20.1,200,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_5   ,20.1,293,#N/A,
CE034,Meteor Sixmilebridge,52.757772,-8.757212,83,CE034 Meteor Sixmilebridge_6   ,20.1,293,#N/A,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_2   ,27,0,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_3   ,27,120,Priority,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_1   ,27,0,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_2   ,27,0,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_3   ,29.5,120,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_4   ,29.5,120,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_5   ,29.5,240,#N/A,
CK012,Towercom Mallow,52.137247,-8.641591,62,CK012 Towercom Mallow_6   ,29.5,240,#N/A,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_4   ,27,120,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_5   ,27,240,Priority,
CK122,Cignal Laight,52.0814,-8.9943,210,CK122 Cignal Laight_6   ,27,240,Priority,
CK126,ESB Carrigaline,51.817297,-8.392872,16,CK126 ESB Carrigaline_1   ,34,80,Priority,
CK126,ESB Carrigaline,51.817297,-8.392872,16,CK126 ESB Carrigaline_2   ,20.5,250,Priority,
CK128,ESB Bandon Hill,51.7559,-8.73698,82,CK128 ESB Bandon Hill_1  ,21.1,355,Priority,
CK128,ESB Bandon Hill,51.7559,-8.73698,82,CK128 ESB Bandon Hill_2  ,21.1,170,Priority,
CK105,Cignal Dooneens,51.971649,-8.893116,339,CK105 Cignal Dooneens_1   ,30,75,#N/A,
CK105,Cignal Dooneens,51.971649,-8.893116,339,CK105 Cignal Dooneens_2   ,30,255,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_1   ,24,0,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_2   ,24,0,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_3   ,24,120,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_4   ,24,120,#N/A,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_1  ,21.1,60,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_2  ,21.1,60,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_3  ,21.1,190,Priority,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_5   ,24,240,#N/A,
CK110,3IRL Crookstown,51.8067,-8.81199,198,CK110 3IRL Crookstown_6   ,24,240,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_1   ,20.5,0,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_2   ,20.5,0,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_3   ,20.5,120,#N/A,
CK111,ESB Kanturk,52.18219,-8.891102,148,CK111 ESB Kanturk_4   ,20.5,120,#N/A,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_4  ,21.1,190,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_5  ,21.1,300,Priority,
CK135,PVT Hibernian Clonakilty,51.61369444,-8.932527778,90,CK135 PVT Hibernian Clonakilty_6  ,21.1,300,Priority,
CK137,Cignal Meentinny,52.2789,-9.093,374,CK137 Cignal Meentinny_1   ,29,81,Priority,
CK137,Cignal Meentinny,52.2789,-9.093,374,CK137 Cignal Meentinny_2   ,29,287,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_1   ,26,0,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_2   ,26,0,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_3   ,26,120,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_4   ,26,120,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_5   ,26,240,Priority,
CK141,ESB Milford,52.338903,-8.86044,107,CK141 ESB Milford_6   ,26,240,Priority,
CK142,ESB Cobh 38KV,51.85481,-8.29568,66,CK142 ESB Cobh 38KV_1  ,24,100,Priority,
CK142,ESB Cobh 38KV,51.85481,-8.29568,66,CK142 ESB Cobh 38KV_2  ,24,230,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_1   ,18.5,160,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_2   ,18.5,160,Priority,
CK146,Meteor Boyhill,52.206988,-8.286906,208,CK146 Meteor Boyhill_3   ,18.5,335,Priority,
